jobs 100
stage 8
machines 1 3 2 4 4 4 4 2 
*Pro_req*
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 2 2 1 2 3 1 1 2 3 2 2 3 1 3 1 1 3 3 1 2 3 3 1 1 2 1 1 2 2 3 3 1 1 3 3 2 2 1 1 2 2 2 3 1 3 3 1 3 1 2 3 1 1 3 3 1 1 3 2 1 2 3 3 2 1 3 1 1 1 2 2 1 1 2 1 1 2 2 2 1 1 1 2 2 1 3 3 2 2 3 1 2 3 2 3 2 2 1 2 
1 2 2 2 2 2 1 2 2 1 1 1 1 2 2 1 2 2 2 2 1 2 1 1 2 1 1 2 2 2 1 2 2 2 1 1 2 1 1 2 2 1 2 2 2 2 1 2 2 1 1 1 2 1 1 1 2 1 1 1 2 2 2 2 1 2 1 1 2 2 1 1 1 2 2 1 1 2 2 2 2 1 2 2 1 1 2 2 1 2 1 1 1 1 2 2 2 1 1 1 
4 3 4 4 1 1 1 3 1 4 3 1 1 2 2 4 3 2 2 4 1 4 1 1 3 1 3 4 2 1 3 1 3 2 4 1 4 1 4 3 2 2 1 1 3 1 1 3 1 2 2 4 4 1 2 3 1 4 2 2 2 1 3 3 1 2 3 2 3 2 3 4 2 3 2 4 2 3 2 4 1 2 2 2 3 1 4 4 3 2 3 1 4 1 2 4 1 3 2 2 
4 1 1 3 4 3 2 1 4 4 1 2 4 3 1 3 2 2 4 4 2 4 1 3 2 3 3 3 3 1 3 3 2 4 1 4 3 3 1 1 3 4 3 4 1 4 1 1 3 3 3 4 1 1 4 3 2 3 3 1 1 1 4 3 1 1 3 4 3 3 1 1 2 1 3 2 2 4 2 3 4 2 4 4 2 4 4 2 2 2 3 1 1 3 3 3 4 2 2 1 
4 4 4 2 3 1 2 4 4 2 2 2 2 3 3 3 3 4 3 3 1 2 1 1 1 4 1 3 2 1 3 4 2 3 4 1 2 3 2 1 1 4 3 2 1 4 1 4 4 3 4 4 3 2 4 3 2 1 3 3 3 1 4 2 2 1 4 1 4 4 1 3 1 4 2 4 4 3 4 3 3 4 2 1 1 2 3 4 2 4 2 1 2 1 4 4 4 4 2 1 
4 4 3 4 3 2 4 3 4 3 1 4 2 4 2 3 3 2 1 3 1 4 1 4 1 2 3 1 4 3 3 2 2 2 4 2 1 3 1 4 4 3 4 3 2 2 1 3 1 2 2 4 1 2 2 3 2 3 4 4 1 2 1 2 2 1 3 4 1 4 1 3 2 4 3 4 1 1 4 1 2 3 1 4 1 2 2 3 3 1 4 3 1 2 3 1 1 3 2 4 
1 1 2 1 2 1 2 2 1 2 2 1 1 2 2 1 1 1 2 1 2 1 2 1 1 2 1 1 1 2 1 1 1 2 1 2 2 1 1 2 2 2 2 1 2 2 2 1 1 2 1 1 1 1 1 1 2 2 2 1 2 1 2 1 2 1 2 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 2 1 2 1 2 1 1 2 1 2 2 1 1 2 1 2 
*Pro_time*
16 17 12 97 79 19 25 58 91 70 33 8 99 69 65 97 39 47 62 17 58 99 98 78 2 69 88 92 8 62 16 88 14 91 96 97 77 90 33 66 94 51 86 2 29 77 67 40 62 46 42 99 19 59 39 68 11 42 100 43 54 55 30 43 100 38 50 41 68 70 86 96 29 59 49 20 55 68 58 55 34 62 72 25 96 86 49 5 50 6 5 84 73 89 64 97 70 21 48 91 
