jobs 100
stage 5
machines 3 4 4 5 2 
*Pro_req*
2 1 1 3 3 2 1 1 1 2 2 1 3 1 1 1 2 3 2 3 2 1 1 2 3 1 3 1 2 3 2 3 3 1 3 1 3 2 2 2 3 1 3 3 2 2 1 1 1 1 3 2 2 1 2 1 2 1 2 1 1 1 2 2 2 3 3 3 2 1 3 2 1 1 2 1 2 3 2 2 3 2 3 3 3 2 3 2 2 3 2 1 1 1 1 2 1 1 3 1 
1 2 1 3 1 4 3 3 1 1 2 2 4 1 1 3 3 1 2 2 2 4 1 3 4 2 3 2 2 4 3 2 2 3 3 3 1 3 1 1 4 4 4 4 2 2 4 1 4 2 4 1 2 1 2 3 2 1 1 2 1 3 4 4 3 4 2 2 4 1 3 1 2 3 1 3 4 1 3 4 3 3 2 1 3 4 4 3 1 3 2 3 1 3 2 2 2 2 1 1 
4 1 1 3 3 3 3 4 3 4 1 3 3 1 1 2 3 2 2 2 2 4 3 1 1 3 4 1 1 2 4 2 2 4 1 4 1 2 2 3 1 3 4 4 4 3 1 1 4 3 4 4 3 3 2 1 2 3 2 1 3 2 3 3 2 3 4 2 2 4 4 4 1 4 1 4 2 2 2 2 2 2 3 3 4 2 3 4 2 2 1 4 1 2 4 1 4 2 4 4 
5 3 1 4 2 1 4 4 5 4 3 1 2 1 2 2 4 2 4 5 1 3 1 1 3 1 4 1 5 1 5 1 4 4 4 5 3 5 2 3 1 1 1 2 1 4 3 3 2 1 2 4 4 5 4 1 2 4 1 4 1 4 5 3 1 2 2 3 4 2 1 5 2 2 1 1 1 3 3 1 4 3 4 5 2 3 2 3 4 3 3 4 2 1 2 1 3 1 5 1 
2 1 2 2 1 2 2 2 2 2 1 2 2 1 2 2 2 1 1 2 2 1 1 1 1 2 2 2 1 1 2 2 1 1 1 1 2 1 2 2 1 1 1 1 1 2 1 1 2 1 2 1 1 2 2 2 1 2 2 2 1 2 2 1 2 2 1 1 1 1 2 1 1 2 1 2 1 2 1 1 1 1 1 2 1 2 1 2 1 2 1 2 1 1 1 2 1 2 2 1 
*Pro_time*
50 59 60 58 71 56 66 82 94 95 40 13 46 75 38 59 34 65 31 74 48 32 37 86 31 39 30 41 53 60 49 45 76 33 10 26 88 84 48 38 76 94 60 32 39 48 58 70 80 61 100 84 79 9 36 58 89 84 66 13 77 92 8 64 8 59 32 82 100 82 74 99 14 13 67 80 4 72 63 80 27 100 57 86 20 15 9 28 26 23 4 13 29 27 4 85 53 32 65 98 
33 74 66 54 22 97 17 68 58 10 91 52 79 72 63 9 59 54 20 67 47 87 54 70 5 85 21 73 72 73 76 97 59 83 93 31 10 100 85 69 99 89 76 67 48 93 5 71 11 17 9 37 42 3 78 36 73 78 80 97 72 53 54 33 8 29 38 35 19 10 81 73 95 46 85 35 49 90 39 92 90 89 8 51 35 1 42 56 29 73 31 7 4 29 92 19 71 50 89 56 
96 70 20 50 28 90 45 18 97 6 80 74 65 62 57 80 2 89 83 58 9 72 54 12 25 37 32 99 89 23 89 38 23 61 38 6 17 26 85 28 59 73 86 12 31 85 62 73 25 93 51 34 84 59 100 36 13 79 22 43 40 63 13 55 38 6 89 36 36 72 33 6 86 89 28 49 11 40 60 58 44 68 16 86 11 49 42 72 31 27 46 92 71 52 37 34 27 49 4 67 
50 72 14 99 61 2 33 76 38 93 63 60 48 51 76 5 25 31 98 26 7 5 2 49 33 81 83 20 86 59 36 72 94 13 57 89 5 49 47 87 34 20 79 31 15 86 63 85 100 68 22 89 12 7 61 10 62 78 40 20 27 53 80 75 48 71 29 25 24 32 83 51 14 76 19 30 61 34 57 96 43 25 97 95 86 63 23 29 50 91 34 36 18 98 88 50 28 11 57 18 
64 9 63 14 16 86 54 47 18 36 96 57 67 7 53 94 74 95 77 8 72 15 23 5 91 1 58 95 41 13 72 51 77 36 76 78 13 65 49 11 91 40 98 91 53 65 72 26 58 52 97 15 65 53 69 51 50 73 89 60 54 7 1 67 62 39 5 53 62 68 27 26 30 97 79 33 49 89 68 31 100 85 24 89 30 27 52 35 84 68 25 68 90 80 21 53 22 28 77 34 
