jobs 20
stage 5
machines 2 1 5 4 3 
*Pro_req*
2 2 1 2 2 1 1 2 2 2 1 1 1 1 2 2 2 2 2 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
4 2 3 5 3 3 3 2 3 4 2 4 1 5 5 3 2 4 1 2 
4 4 4 4 1 2 1 2 1 2 4 3 1 3 1 2 1 2 2 4 
3 2 1 2 2 1 2 1 1 3 3 3 2 3 1 1 3 1 2 1 
*Pro_time*
95 98 88 35 75 92 74 33 3 28 55 80 76 85 81 73 91 99 5 45 
98 31 70 100 71 49 6 30 47 13 98 37 88 30 24 64 9 86 71 76 
65 44 88 45 42 54 39 40 99 28 76 75 35 35 23 35 17 84 33 3 
53 14 17 55 79 23 80 67 95 65 83 87 12 2 49 99 6 12 31 53 
67 43 31 50 33 96 68 33 49 72 59 34 22 98 70 56 82 62 24 69 
