jobs 50
stage 8
machines 5 5 5 5 5 5 5 5 
*Pro_req*
3 4 4 5 2 3 1 2 4 5 4 2 2 2 3 4 2 4 1 1 1 3 5 4 5 3 2 1 3 4 2 5 2 4 5 3 4 5 1 4 1 4 2 3 2 4 1 4 4 3 
2 2 2 4 1 3 3 3 3 4 3 4 5 5 5 2 1 3 4 2 3 2 4 2 4 3 2 2 5 2 2 2 3 3 3 3 3 4 2 1 2 5 5 3 2 4 5 3 2 2 
5 3 2 4 5 2 3 1 4 1 5 4 3 1 2 2 3 5 2 1 4 4 2 2 3 2 4 1 4 5 3 4 2 2 5 3 3 3 4 4 4 1 4 2 1 5 5 5 4 3 
2 3 3 2 1 2 4 4 3 2 5 1 4 3 1 5 3 4 4 4 1 3 3 1 4 3 5 3 4 1 5 2 4 4 4 4 5 3 5 5 2 1 5 5 4 5 5 4 4 3 
1 4 3 5 3 5 1 1 4 4 4 4 5 3 5 1 3 4 1 1 3 3 2 2 3 3 5 4 1 2 3 4 1 1 2 5 2 2 5 2 5 1 3 3 3 1 3 5 5 5 
1 4 2 5 5 5 4 1 3 2 5 3 1 5 1 4 4 4 4 3 4 1 5 5 3 1 4 3 1 2 2 2 5 5 2 5 2 2 4 2 1 1 2 5 2 3 4 5 1 2 
2 2 3 1 4 5 3 1 4 2 1 4 4 5 4 3 1 2 1 2 2 4 2 4 5 1 3 1 1 3 1 4 1 5 1 5 1 4 4 4 5 3 5 2 3 1 1 1 2 1 
1 3 1 5 1 3 4 1 5 4 1 2 4 2 5 4 3 3 3 4 1 2 2 5 2 1 1 1 3 2 5 5 1 5 3 2 4 5 1 3 5 1 3 3 5 2 1 4 2 1 
*Pro_time*
66 30 11 24 31 93 62 59 13 57 13 40 2 60 10 28 29 37 40 55 71 70 68 57 7 100 43 13 22 55 5 41 83 41 48 87 42 76 100 87 56 70 54 35 94 63 7 26 7 6 
48 58 70 80 61 100 84 79 9 36 58 89 84 66 13 77 92 8 64 8 59 32 82 100 82 74 99 14 13 67 80 4 72 63 80 27 100 57 86 20 15 9 28 26 23 4 13 29 27 4 
37 100 7 78 26 77 7 42 14 29 66 40 7 13 34 9 51 86 79 63 81 39 29 80 12 68 1 26 55 20 55 91 6 67 87 75 55 29 4 66 98 77 54 16 70 29 68 5 57 47 
93 5 71 11 17 9 37 42 3 78 36 73 78 80 97 72 53 54 33 8 29 38 35 19 10 81 73 95 46 85 35 49 90 39 92 90 89 8 51 35 1 42 56 29 73 31 7 4 29 92 
65 25 8 81 68 88 78 58 74 41 8 29 62 42 4 53 33 54 51 36 66 86 28 34 100 86 76 20 80 24 96 44 45 43 40 39 35 59 66 86 46 57 98 38 37 7 97 1 43 93 
85 62 73 25 93 51 34 84 59 100 36 13 79 22 43 40 63 13 55 38 6 89 36 36 72 33 6 86 89 28 49 11 40 60 58 44 68 16 86 11 49 42 72 31 27 46 92 71 52 37 
62 54 44 32 10 27 66 65 86 75 20 23 74 18 62 4 72 94 59 16 40 32 60 72 21 10 89 29 40 18 2 15 52 55 16 68 57 75 83 33 55 22 44 72 41 43 80 35 14 23 
86 63 85 100 68 22 89 12 7 61 10 62 78 40 20 27 53 80 75 48 71 29 25 24 32 83 51 14 76 19 30 61 34 57 96 43 25 97 95 86 63 23 29 50 91 34 36 18 98 88 
