jobs 20
stage 8
machines 5 5 1 5 3 3 3 4 
*Pro_req*
1 3 3 5 2 3 4 1 2 5 3 3 1 3 2 4 5 5 4 1 
3 3 4 5 4 1 3 5 3 1 5 2 2 2 1 4 3 1 2 4 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
2 2 1 1 2 3 3 5 5 4 3 3 1 1 5 2 3 2 4 1 
3 1 2 2 1 3 1 3 1 1 3 2 1 1 3 3 2 1 3 3 
3 3 3 1 2 1 3 3 3 2 2 2 3 1 3 1 3 1 1 2 
2 1 1 1 3 2 3 1 2 1 3 3 3 2 3 1 3 2 3 2 
4 3 3 4 3 3 1 1 1 1 2 1 2 1 1 1 3 4 2 4 
*Pro_time*
55 2 10 73 31 37 92 14 56 36 59 92 100 52 77 48 23 46 85 53 
34 5 20 17 85 60 58 30 14 44 81 86 26 66 71 41 56 26 97 76 
72 96 68 27 72 47 24 77 21 28 30 44 18 44 80 37 58 46 75 66 
96 25 14 45 96 60 50 64 23 99 84 76 40 44 28 41 57 97 65 71 
74 93 9 97 57 9 1 98 42 85 18 73 71 32 16 19 34 7 30 54 
69 67 34 34 86 40 2 16 17 48 67 44 41 62 77 50 44 31 2 83 
51 43 65 95 6 9 5 92 52 70 81 80 87 6 33 21 14 63 40 70 
60 73 33 44 74 87 71 23 18 91 60 73 86 28 58 14 78 52 83 45 
