jobs 20
stage 8
machines 1 2 4 5 1 1 4 5 
*Pro_req*
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
2 1 2 2 1 1 1 2 2 2 2 2 1 2 2 2 1 2 1 1 
2 3 1 2 3 4 4 3 3 2 3 4 4 3 2 3 4 3 1 3 
5 2 5 2 4 5 4 5 3 1 1 2 2 1 3 4 1 2 3 4 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
2 4 3 4 4 3 4 1 2 3 2 2 3 2 1 3 3 2 4 4 
5 3 1 2 4 5 5 4 4 2 3 5 2 1 5 2 1 1 5 1 
*Pro_time*
73 3 42 31 16 81 40 94 56 61 53 10 59 30 44 11 79 28 36 75 
37 58 94 76 16 75 96 19 40 7 60 68 91 15 80 32 11 63 25 6 
90 39 51 35 53 99 66 32 75 89 43 86 82 83 94 98 67 69 100 93 
22 62 25 83 33 79 75 77 87 79 21 17 70 95 52 41 28 46 62 93 
69 38 38 58 46 37 45 31 55 82 34 56 36 81 47 76 71 15 17 76 
19 66 47 69 60 51 54 29 16 97 52 2 8 91 66 23 64 94 27 85 
11 55 43 95 84 93 56 6 24 17 33 84 86 47 62 66 88 55 72 51 
31 96 18 8 43 97 78 48 92 42 29 81 24 61 55 94 99 5 63 68 
