jobs 20
stage 8
machines 5 5 5 5 5 5 5 5 
*Pro_req*
1 5 4 2 1 4 2 2 4 2 4 5 1 3 2 5 4 4 2 4 
5 1 3 2 3 3 2 3 4 4 3 2 2 2 4 4 1 4 1 1 
3 5 5 2 3 1 1 1 4 2 5 4 5 4 3 1 1 2 1 5 
1 2 2 4 5 3 2 3 4 3 4 4 1 5 2 4 1 5 4 4 
2 1 5 1 1 2 1 2 3 5 2 2 3 2 2 3 5 1 5 1 
5 3 1 2 5 3 4 3 1 2 2 4 4 4 1 2 3 3 5 3 
4 5 4 3 1 3 2 5 1 4 3 4 1 3 2 3 5 5 2 1 
4 2 5 3 5 1 2 1 5 2 4 5 5 5 5 5 2 4 3 1 
*Pro_time*
22 40 79 33 50 27 24 80 93 92 64 17 58 95 92 21 64 7 13 47 
60 9 63 20 43 46 45 28 7 2 76 39 89 11 92 64 94 3 38 96 
74 30 40 60 40 43 29 58 45 27 1 55 18 85 43 15 35 79 49 85 
55 70 6 51 69 100 36 70 3 98 47 1 38 77 22 73 12 41 30 61 
25 92 80 31 64 92 71 13 6 39 43 61 6 76 32 35 46 42 98 8 
94 76 87 30 37 45 92 42 42 82 65 63 68 37 27 82 26 32 29 44 
66 89 94 10 17 45 77 4 80 77 25 75 23 48 24 62 12 20 7 71 
79 48 89 83 12 69 14 67 44 66 70 67 12 19 86 56 29 62 22 15 
