jobs 20
stage 8
machines 5 5 5 5 5 5 5 5 
*Pro_req*
3 4 4 5 2 3 1 2 4 5 4 2 2 2 3 4 2 4 1 1 
1 4 2 3 2 4 1 4 4 3 4 2 1 2 2 5 4 3 1 3 
1 3 5 3 3 5 3 4 5 5 3 4 3 2 5 4 1 2 1 1 
3 2 4 2 4 3 2 2 5 2 2 2 3 3 3 3 3 4 2 1 
3 5 5 4 1 4 5 1 4 1 3 2 5 5 5 4 5 1 1 4 
5 3 2 4 5 2 3 1 4 1 5 4 3 1 2 2 3 5 2 1 
4 1 4 2 1 5 5 5 4 3 2 5 1 4 2 4 1 3 1 2 
3 5 1 4 5 4 3 2 1 4 5 4 3 1 4 2 4 1 3 3 
*Pro_time*
18 52 91 65 99 52 28 19 48 76 28 89 26 62 92 50 80 87 6 75 
13 40 2 60 10 28 29 37 40 55 71 70 68 57 7 100 43 13 22 55 
38 33 28 79 3 50 59 60 58 71 56 66 82 94 95 40 13 46 75 38 
26 88 84 48 38 76 94 60 32 39 48 58 70 80 61 100 84 79 9 36 
80 4 72 63 80 27 100 57 86 20 15 9 28 26 23 4 13 29 27 4 
74 66 24 38 46 32 78 5 66 96 47 64 39 39 84 56 44 45 69 74 
66 40 7 13 34 9 51 86 79 63 81 39 29 80 12 68 1 26 55 20 
30 47 41 24 10 33 74 66 54 22 97 17 68 58 10 91 52 79 72 63 
