jobs 50
stage 5
machines 3 2 4 4 5 
*Pro_req*
1 3 3 3 1 2 2 3 3 3 1 3 1 3 2 3 1 1 2 1 1 1 1 3 2 2 1 3 3 3 2 3 3 3 1 2 1 2 3 1 3 3 3 2 2 2 2 2 2 2 
2 1 2 2 1 2 1 1 2 2 2 2 2 1 2 1 2 1 1 2 1 1 2 1 2 1 1 1 1 1 1 2 2 1 1 1 2 1 2 2 1 1 2 2 2 2 2 2 1 2 
1 4 4 1 2 4 2 1 2 2 4 1 4 1 1 1 1 2 1 2 2 2 4 3 1 2 2 4 3 3 3 1 2 2 4 2 3 4 2 1 2 1 4 4 2 2 1 4 4 2 
2 1 1 1 2 1 1 2 1 3 4 3 4 3 3 2 1 2 3 2 2 1 3 1 4 1 3 2 2 2 2 3 4 2 3 4 3 4 2 2 2 1 1 1 2 2 2 4 3 4 
1 4 4 2 2 2 5 4 5 1 1 2 2 1 5 4 1 2 4 3 4 2 1 5 2 4 2 4 3 2 2 1 2 3 2 3 1 1 1 1 1 5 4 5 5 1 5 1 3 4 
*Pro_time*
53 33 60 54 28 32 11 73 77 90 66 14 57 3 60 35 6 11 10 89 12 69 32 20 37 80 98 41 90 61 50 97 36 10 38 32 55 2 34 41 58 6 11 77 94 44 34 51 97 77 
21 38 51 72 58 68 51 47 50 46 85 29 93 81 44 100 37 13 98 91 87 43 63 51 97 63 76 98 83 40 79 61 83 47 68 4 58 80 29 34 81 16 66 46 2 23 20 61 75 93 
59 19 91 2 43 10 1 9 39 88 76 79 17 18 36 80 47 58 46 26 42 45 40 25 18 63 73 90 80 43 93 74 87 23 99 34 2 86 83 70 7 52 100 24 100 28 20 12 34 93 
81 30 33 34 4 55 65 48 52 75 80 42 53 90 65 85 35 93 93 57 30 32 9 22 45 98 47 72 81 75 69 13 92 21 94 79 32 39 47 20 48 27 70 53 80 79 2 81 86 8 
17 47 33 58 54 21 5 74 61 82 71 69 61 21 100 11 14 61 63 99 12 26 45 45 86 21 97 17 12 26 92 4 62 63 79 60 18 88 59 2 59 34 61 43 10 59 44 99 63 13 
