jobs 20
stage 8
machines 1 5 4 2 5 1 5 3 
*Pro_req*
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
5 4 2 5 4 3 2 2 5 1 1 4 4 5 5 4 3 3 2 3 
4 2 3 2 1 3 4 4 4 3 2 3 1 4 2 2 3 1 2 2 
1 2 1 2 2 2 2 1 2 1 2 2 1 1 2 1 2 2 1 1 
2 4 3 1 2 1 5 1 2 5 1 5 1 5 2 3 3 2 2 5 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
4 5 4 4 2 3 1 3 5 1 4 3 1 5 5 4 4 3 2 5 
3 2 2 1 3 2 1 3 2 1 1 1 2 3 2 3 2 3 1 3 
*Pro_time*
33 83 21 51 94 61 46 88 60 71 65 67 71 2 6 62 94 95 86 91 
19 11 10 9 98 54 65 66 93 82 41 84 81 70 63 40 18 52 7 17 
74 3 51 88 97 60 87 9 77 32 27 18 17 27 25 14 39 3 9 80 
100 37 15 91 43 8 16 82 37 82 45 45 60 14 68 37 97 37 63 31 
27 79 50 65 59 38 73 85 61 82 16 34 96 24 95 76 3 19 99 37 
26 53 80 27 39 55 22 23 15 48 29 19 24 21 38 73 9 41 85 29 
95 14 80 24 3 62 92 6 52 14 10 71 42 13 6 37 48 49 28 13 
89 84 97 51 2 41 32 79 47 72 95 59 58 92 85 71 59 84 39 39 
